Company,Job Title,Application Link,Date Applied,Status,Questions Answered
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 04:42:17,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 05:16:37,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 05:18:34,Failed,{}
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 05:21:25,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 05:28:08,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'I acknowledge', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 20:50:15,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 21:25:41,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results.': 'I acknowledge'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 23:22:03,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Not Answered', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'Not Answered', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results.': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 23:23:12,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Not Answered', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'Not Answered', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results.': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 23:56:07,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results.': 'Not Answered'}"
