Company,Job Title,Application Link,Date Applied,Status,Questions,Answered
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 03:50:59
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 03:52:17
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:30:08
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:31:42
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:33:11
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:34:21
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:42:18
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:45:23
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:47:12
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:55:36
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:56:15
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:56:50
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:23:58
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:24:29
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:31:12,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 20:47:44,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 20:51:24,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 21:05:33,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 02:23:33,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 20:45:32,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 20:53:34,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:16:42,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:18:20,Failed
Federato,Senior Machine Learning Engineer,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-07 21:22:28,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:23:46,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 00:02:52,Failed
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:04:08,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 00:18:12,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:19:24,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 00:23:58,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:25:14,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 00:37:38,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:38:51,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 00:40:12,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Concurrency,Senior Machine Learning Engineer,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-26 00:41:38,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Federato,Senior Machine Learning Engineer,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-26 00:42:53,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Gridmatic,AI Research Scientist,https://jobs.lever.co/gridmatic/91df21b7-9d76-47a1-a88e-35801f801d98?source=LinkedIn,2025-02-26 00:44:29,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:49:59,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:51:15,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:57:39,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 01:02:21,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 01:19:07,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
